ID,STORE,NAME,YEAR,VALUE,DESC
183,MC,McDonaldland Dough,1990,36.00,"Cajita Feliz de McDonald's (1990) - McDonaldland Dough, conjunto de juguetes."
184,MC,McDrive Thru Crew,1990,36.00,"Cajita Feliz de McDonald's (1990) - McDrive Thru Crew, conjunto de juguetes."
185,MC,Halloween Pails,1990,36.00,Cajita Feliz de McDonald's (1990) - Halloween Pails.
186,MC,TaleSpin,1990,36.00,"Cajita Feliz de McDonald's (1990) - TaleSpin, conjunto de juguetes."
187,MC,The Rescuers Down Under,1990,36.00,"Cajita Feliz de McDonald's (1990) - The Rescuers Down Under, conjunto de juguetes."
188,MC,Good Morning,1991,36.00,"Cajita Feliz de McDonald's (1991) - Good Morning, conjunto de juguetes."
189,MC,Tiny Toon Adventures,1991,36.00,"Cajita Feliz de McDonald's (1991) - Tiny Toon Adventures, conjunto de juguetes."
190,MC,Alvin and the Chipmunks,1991,36.00,"Cajita Feliz de McDonald's (1991) - Alvin and the Chipmunks, conjunto de juguetes."
191,MC,Muppet Babies,1991,36.00,"Cajita Feliz de McDonald's (1991) - Muppet Babies, conjunto de juguetes."
192,MC,Gravedale High,1991,36.00,"Cajita Feliz de McDonald's (1991) - Gravedale High, conjunto de juguetes."
193,MC,McDonaldland Circus Parade,1991,36.00,"Cajita Feliz de McDonald's (1991) - McDonaldland Circus Parade, conjunto de juguetes."
194,MC,Mighty Mini Happy Meal,1991,36.00,"Cajita Feliz de McDonald's (1991) - Mighty Mini Happy Meal, conjunto de juguetes."
195,MC,Piggsburg Pigs,1991,36.00,"Cajita Feliz de McDonald's (1991) - Piggsburg Pigs, conjunto de juguetes."
196,MC,Nature's Helper,1991,36.00,"Cajita Feliz de McDonald's (1991) - Nature's Helper, conjunto de juguetes."
197,MC,McDino Changeables,1991,36.00,"Cajita Feliz de McDonald's (1991) - McDino Changeables, conjunto de juguetes."
198,MC,Breakfast Happy Meal,1991,36.00,"Cajita Feliz de McDonald's (1991) - Breakfast Happy Meal, conjunto de juguetes."
199,MC,101 Dalmatians,1991,36.00,"Cajita Feliz de McDonald's (1991) - 101 Dalmatians, conjunto de juguetes."
200,MC,Sports Ball,1991,36.00,"Cajita Feliz de McDonald's (1991) - Sports Ball, conjunto de juguetes."
201,MC,Barbie/Hot Wheels,1991,36.00,"Cajita Feliz de McDonald's (1991) - Barbie/Hot Wheels, conjunto de juguetes."
202,MC,Connectibles,1991,36.00,"Cajita Feliz de McDonald's (1991) - Connectibles, conjunto de juguetes."
203,MC,Crazy Vehicles,1991,36.00,"Cajita Feliz de McDonald's (1991) - Crazy Vehicles, conjunto de juguetes."
204,MC,McCharacters on Bikes/McDonaldland on Wheels,1991,36.00,"Cajita Feliz de McDonald's (1991) - McCharacters on Bikes/McDonaldland on Wheels, conjunto de juguetes."
205,MC,Discover the Rainforest,1991,36.00,"Cajita Feliz de McDonald's (1991) - Discover the Rainforest, conjunto de juguetes."
206,MC,Friendly Skies,1991,36.00,"Cajita Feliz de McDonald's (1991) - Friendly Skies, conjunto de juguetes."
207,MC,McBoo Bags and Buckets,1991,36.00,"Cajita Feliz de McDonald's (1991) - McBoo Bags and Buckets, conjunto de juguetes."
208,MC,Super Looney Tunes,1991,36.00,"Cajita Feliz de McDonald's (1991) - Super Looney Tunes, conjunto de juguetes."
209,MC,Hook,1991,36.00,"Cajita Feliz de McDonald's (1991) - Hook, conjunto de juguetes."
210,MC,McDonald's Pizza Happy Sack,1991,36.00,"Cajita Feliz de McDonald's (1991) - McDonald's Pizza Happy Sack, conjunto de juguetes."
211,MC,Crayon Sketch toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Crayon Sketch toys.
212,MC,Mystery of the Lost Arches toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Mystery of the Lost Arches toys.
213,MC,Potato Head Kids toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Potato Head Kids toys.
214,MC,Crayon Squeeze Bottles,1992,36.00,"Cajita Feliz de McDonald's (1992) - Crayon Squeeze Bottles, conjunto de juguetes."
215,MC,The Real Ghostbusters,1992,36.00,"Cajita Feliz de McDonald's (1992) - The Real Ghostbusters, conjunto de juguetes."
216,MC,Water Games,1992,36.00,"Cajita Feliz de McDonald's (1992) - Water Games, conjunto de juguetes."
217,MC,Wild Friends,1992,36.00,"Cajita Feliz de McDonald's (1992) - Wild Friends, conjunto de juguetes."
218,MC,Yo Yogi!,1992,36.00,"Cajita Feliz de McDonald's (1992) - Yo Yogi!, conjunto de juguetes."
219,MC,Young Astronauts toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Young Astronauts toys.
220,MC,Back to the Future: The Animated Series,1992,36.00,"Cajita Feliz de McDonald's (1992) - Back to the Future: The Animated Series, conjunto de juguetes."
221,MC,Nature's Watch toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Nature's Watch toys.
222,MC,Batman Returns,1992,36.00,"Cajita Feliz de McDonald's (1992) - Batman Returns, conjunto de juguetes."
223,MC,Michael Jordan Fitness Fun toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Michael Jordan Fitness Fun toys.
224,MC,Barbie & Hot Wheels Mini Streex toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Barbie & Hot Wheels Mini Streex toys.
225,MC,Behind the Scenes toys,1992,36.00,Cajita Feliz de McDonald's (1992) - Behind the Scenes toys.
